name,contrast,dissimilarity,homogeneity,correlation,energy,label
DSC_0100_Brown spot_10_binary.npy,64.00366492146597,0.25099476439790575,0.9990157219432002,0.9533109071912554,0.9889058649520566,0
DSC_0100_Brown spot_11_binary.npy,73.53612565445026,0.28837696335078533,0.9988691273389959,0.9519969026692591,0.9875787055341271,0
DSC_0100_Brown spot_12_binary.npy,58.5565445026178,0.22963350785340314,0.9990994902884597,0.95435340454004,0.9896323168376908,0
DSC_0100_Brown spot_13_binary.npy,59.91832460732985,0.23497382198952882,0.9990785482021449,0.9549549216363036,0.9892536852392775,0
DSC_0100_Brown spot_14_binary.npy,61.28010471204188,0.24031413612565444,0.9990576061158299,0.9560243606009183,0.9887508496591446,0
DSC_0100_Brown spot_15_binary.npy,59.91832460732984,0.2349738219895288,0.9990785482021448,0.9576891542946272,0.9885853031857414,0
DSC_0100_Brown spot_16_binary.npy,64.00366492146597,0.25099476439790575,0.9990157219432002,0.9582738374125224,0.9876372422490708,0
DSC_0100_Brown spot_17_binary.npy,32.001832460732984,0.12549738219895287,0.9995078609716002,0.9793427601727984,0.9877670187836992,0
DSC_0100_Brown spot_18_binary.npy,59.91832460732984,0.2349738219895288,0.9990785482021449,0.9543831574692508,0.989383271079885,0
DSC_0100_Brown spot_19_binary.npy,61.28010471204188,0.24031413612565444,0.9990576061158298,0.9538849348268311,0.9892534862864677,0
DSC_0100_Brown spot_1_binary.npy,34.72539267015707,0.13617801047120418,0.9994659767989703,0.9764740689428023,0.9883150108797514,0
DSC_0100_Brown spot_20_binary.npy,61.28010471204188,0.24031413612565444,0.9990576061158299,0.9544787695177639,0.9891187328410763,0
DSC_0100_Brown spot_21_binary.npy,61.28010471204188,0.24031413612565444,0.9990576061158299,0.9569703281125124,0.9885125789660729,0
DSC_0100_Brown spot_22_binary.npy,65.36544502617804,0.2563350785340315,0.9989947798568853,0.9491250547108206,0.9895639559392356,0
DSC_0100_Brown spot_23_binary.npy,62.64188481675393,0.2456544502617801,0.9990366640295151,0.9486006084193837,0.9900985416755289,0
DSC_0100_Brown spot_24_binary.npy,62.64188481675393,0.2456544502617801,0.9990366640295151,0.9491027189074405,0.9900051639587009,0
DSC_0100_Brown spot_25_binary.npy,61.28010471204188,0.24031413612565444,0.9990576061158299,0.9555783760558239,0.9888596453250901,0
DSC_0100_Brown spot_26_binary.npy,66.72722513089005,0.26167539267015705,0.9989738377705705,0.9569089748204483,0.9875022438254327,0
DSC_0100_Brown spot_27_binary.npy,34.72539267015707,0.13617801047120418,0.9994659767989703,0.9783638740211875,0.9873114293381222,0
DSC_0100_Brown spot_28_binary.npy,34.67525130890053,0.136434554973822,0.9992911077011676,0.9768272994975954,0.9881251197921468,0
DSC_0100_Brown spot_29_binary.npy,73.95437696335077,0.29323560209424077,0.9984388533839316,0.9524624804231057,0.9873200595149001,0
DSC_0100_Brown spot_2_binary.npy,70.81256544502617,0.27769633507853403,0.9989110115116258,0.9533292581016669,0.9877137195945103,0
DSC_0100_Brown spot_30_binary.npy,85.74424083769634,0.33634554973821984,0.9986806485736412,0.9400137844506075,0.9882806733086975,0
DSC_0100_Brown spot_31_binary.npy,74.53426178010469,0.2943769633507853,0.9984880593692426,0.9527703187752149,0.987156429096575,0
DSC_0100_Brown spot_32_binary.npy,85.73123560209424,0.3364397905759162,0.9986295410456666,0.940979398487203,0.9880979297017868,0
DSC_0100_Brown spot_33_binary.npy,82.7659267015707,0.3349109947643979,0.9977143239892658,0.9502460069835976,0.9862625423581766,0
DSC_0100_Brown spot_34_binary.npy,84.08109947643979,0.3376649214659685,0.9981421175622041,0.9481179959827745,0.9867023847669675,0
DSC_0100_Brown spot_35_binary.npy,53.901455497382166,0.22257591623036638,0.9987779120921326,0.9564021446128927,0.9897801405972729,0
DSC_0100_Brown spot_36_binary.npy,51.48576963350784,0.203413612565445,0.998864355289276,0.9533867647290555,0.9910316743664646,0
DSC_0100_Brown spot_37_binary.npy,58.74883769633507,0.23976963350785335,0.9979286471678839,0.9535769843707685,0.9894682999527503,0
DSC_0100_Brown spot_38_binary.npy,57.41268062827221,0.2465130890052355,0.997392940330353,0.9548043573884377,0.9889052187653941,0
DSC_0100_Brown spot_39_binary.npy,47.29367539267015,0.18774869109947645,0.9988181068351796,0.9575867638260406,0.9909343001037269,0
DSC_0100_Brown spot_3_binary.npy,73.53612565445026,0.28837696335078533,0.9988691273389959,0.9538770468544563,0.987092376266231,0
