,name,contrast,dissimilarity,homogeneity,ASM,energy,label
0,DSC_0105_Brown spot_43_multiclass.npy,0.3397235875980619,0.3748102249255294,0.9869951024020048,0.9779015712652378,0.9888890591291006,1
1,DSC_0502_Leaf smut_67_multiclass.npy,0.5587193635202029,0.5028897103387749,0.9920581231981274,0.9876425782690225,0.9938020820409981,2
2,DSC_0516_Leaf smut_28_multiclass.npy,0.07900012779083063,0.29262469550252385,0.9723748639889608,0.9234967881724495,0.960987402712673,2
3,DSC_0317_Leaf smut_53_multiclass.npy,0.016351217258887354,0.03904473469048823,0.9957399017283399,0.992301362628779,0.9961432440310876,2
4,DSC_0379_Bacterial leaf blight_61_multiclass.npy,0.02283089505787992,0.04495180238008758,0.9954652687846399,0.9872381279299041,0.993598574842931,0
5,DSC_0377_Bacterial leaf blight_38_multiclass.npy,0.034833826537943875,0.05367751220238432,0.996153999262788,0.9902267675047052,0.9951013855405413,0
6,DSC_0306_Brown spot_72_multiclass.npy,0.14405530803589914,0.12136999161576045,0.9916615614355433,0.9764945542425845,0.9881773900684957,1
7,DSC_0383_Bacterial leaf blight_37_multiclass.npy,0.07054559555830703,0.1762242853436768,0.9835435808013603,0.9571462111854784,0.9783384951975865,0
8,DSC_0114_Brown spot_43_multiclass.npy,0.3901016329874751,0.348133542418084,0.9936783732856045,0.9922095750224723,0.9960971714759923,1
9,DSC_0312_Leaf smut_39_multiclass.npy,0.07104387651960872,0.12732275348161715,0.9893632137923651,0.9698240997880402,0.9847964763279973,2
10,DSC_0504_Leaf smut_18_multiclass.npy,1.0,0.642009924583811,0.9913744645248359,0.9682196105789732,0.9839815092668018,2
11,DSC_0117_Brown spot_13_multiclass.npy,0.4031369221957064,0.40414615683838306,0.9902674210508725,0.984626935012527,0.9922836968390274,1
12,DSC_0378_Bacterial leaf blight_52_multiclass.npy,0.027353776982382103,0.058259448780520084,0.9951875521275408,0.9940129631463953,0.9970019875338241,0
13,DSC_0508_Leaf smut_67_multiclass.npy,0.0023489165093862527,0.013706362943832871,0.9980807641205681,0.9985444176415675,0.9992719437878596,2
