contrast,dissimilarity,homogeneity,ASM,energy,label
197.3871774,1.667127874,0.926725392,0.807974254,0.898873881,Bacterial leaf blight
12.95130565,0.232586228,0.976299922,0.932277974,0.965545428,Bacterial leaf blight
53.99847878,0.517031556,0.963819819,0.898756721,0.948027806,Bacterial leaf blight
857.7203477,5.767199731,0.762741842,0.459398585,0.677789485,Bacterial leaf blight
225.6086297,1.863055742,0.891858482,0.698482542,0.83575268,Bacterial leaf blight
94.69050804,0.788913436,0.951737621,0.861479685,0.928159299,Bacterial leaf blight
173.7009578,1.654908421,0.895627684,0.719405065,0.848177496,Bacterial leaf blight
160.5248517,1.30219545,0.930913859,0.812334493,0.901296007,Bacterial leaf blight
141.5850202,1.184763332,0.931871053,0.814118058,0.90228491,Bacterial leaf blight
227.0513966,2.032117631,0.844417757,0.606752645,0.778943287,Bacterial leaf blight
93.82894676,0.9786838,0.936243953,0.821506047,0.906369707,Bacterial leaf blight
277.4492684,2.258779507,0.899984147,0.733299166,0.856328889,Bacterial leaf blight
16.41420774,0.288519753,0.96378555,0.889963234,0.943378627,Bacterial leaf blight
43.10549933,0.59680773,0.962731528,0.896198516,0.94667762,Bacterial leaf blight
65.88596961,0.644852312,0.952100189,0.864298561,0.929676589,Bacterial leaf blight
349.2558288,2.748857173,0.881909168,0.69488569,0.833598039,Bacterial leaf blight
73.25189961,0.666718903,0.950669006,0.850798634,0.922387464,Bacterial leaf blight
1108.253417,7.391626407,0.763456728,0.467604505,0.683816134,Bacterial leaf blight
539.6870681,4.108767276,0.844205521,0.616191797,0.784978851,Bacterial leaf blight
783.3910034,5.851314059,0.737523381,0.400677612,0.632991005,Bacterial leaf blight
242.4240116,2.087011528,0.8981442,0.735418128,0.857565233,Bacterial leaf blight
31.16115766,0.410041585,0.9526418,0.853932918,0.924084908,Bacterial leaf blight
93.05631192,0.780894539,0.950588543,0.856625231,0.925540508,Bacterial leaf blight
74.4801324,0.572131849,0.966290054,0.900187396,0.94878206,Bacterial leaf blight
93.62271052,0.928850446,0.937397053,0.820634978,0.905889054,Bacterial leaf blight
89.78581366,0.874227923,0.936468543,0.81502999,0.902790114,Bacterial leaf blight
163.651801,1.78238136,0.819840941,0.555677174,0.745437572,Bacterial leaf blight
136.8976081,1.129277,0.943348909,0.845584752,0.919556823,Bacterial leaf blight
1105.889685,7.307347725,0.785825332,0.498615127,0.706126849,Bacterial leaf blight
1958.891474,14.14211564,0.679118474,0.352896575,0.594050987,Bacterial leaf blight
455.6227258,3.603714377,0.872754473,0.682839221,0.826340862,Bacterial leaf blight
23.57018637,0.413546508,0.950109092,0.857563638,0.926047319,Bacterial leaf blight
857.293179,6.595122156,0.779874946,0.491731247,0.701235514,Bacterial leaf blight
