name,contrast,dissimilarity,homogeneity,ASM,energy,label
DSC_0100_Brown spot_34_multiclass.npy,3.2236387812647247,0.1709176470588235,0.9988575550136038,0.9742720442906575,0.9870521993748139,1
DSC_0100_Brown spot_35_multiclass.npy,2.0650762840168064,0.11274248366013072,0.9992723556340443,0.9801391289435686,0.9900197618954728,1
DSC_0100_Brown spot_43_multiclass.npy,2.7267568570356864,0.14500392156862743,0.9986797809295263,0.974957622986031,0.9873994242382517,1
DSC_0100_Brown spot_45_multiclass.npy,0.822008142221033,0.1287529411764706,0.9870733924395623,0.963744236640608,0.9817047604247461,1
DSC_0100_Brown spot_46_multiclass.npy,1.5676470766027322,0.16088888888888886,0.9885694060245406,0.9682460467409962,0.9839949424366958,1
DSC_0100_Brown spot_47_multiclass.npy,1.9803033988493601,0.20447581699346423,0.9870941445943495,0.9638366416062211,0.9817518228178754,1
DSC_0100_Brown spot_48_multiclass.npy,2.1303550061430117,0.35582745098039226,0.9715014063508021,0.9285607684292364,0.9636185803673757,1
DSC_0100_Brown spot_49_multiclass.npy,1.6153655296324778,0.15645490196078438,0.9888476852536123,0.9676083088316463,0.9836708335778012,1
DSC_0100_Brown spot_51_multiclass.npy,1.58742448269588,0.14177254901960787,0.9912741574511323,0.9730782570122601,0.9864472905392665,1
DSC_0100_Brown spot_52_multiclass.npy,1.7204166970244066,0.18045490196078431,0.9883818169886815,0.9663639568097735,0.9830381258169866,1
DSC_0100_Brown spot_53_multiclass.npy,1.6824085199209682,0.20810457516339873,0.9840540353675695,0.9565918369447641,0.9780551298085216,1
DSC_0100_Brown spot_54_multiclass.npy,0.3498987833310167,0.06515032679738561,0.9925920773310848,0.9786668365568791,0.9892759152819193,1
DSC_0100_Brown spot_55_multiclass.npy,0.7188480622674541,0.13083921568627446,0.988345121395928,0.9682048147635512,0.9839739908979054,1
DSC_0100_Brown spot_56_multiclass.npy,2.3853913707345034,0.46458562091503275,0.9612385065867045,0.9040663544995508,0.950824039714789,1
DSC_0100_Brown spot_57_multiclass.npy,1.7594530304038256,0.22561045751634,0.984429357824852,0.956458912315776,0.9779871739014658,1
DSC_0100_Brown spot_58_multiclass.npy,0.48785975289210426,0.0676078431372549,0.9939375936799671,0.981866152635311,0.9908915947949659,1
DSC_0100_Brown spot_59_multiclass.npy,2.699831964550836,0.4104679738562091,0.9663412958035164,0.9066641246289878,0.9521891223013356,1
DSC_0100_Brown spot_60_multiclass.npy,1.4023091458440107,0.18839215686274519,0.9839767790908772,0.9542512028296813,0.9768578211949175,1
DSC_0100_Brown spot_61_multiclass.npy,0.720523116869607,0.09173333333333336,0.9942591841762958,0.9834521999436115,0.9916915850926696,1
DSC_0100_Brown spot_62_multiclass.npy,0.8297141135003879,0.1207006535947712,0.9921294311804976,0.9793496571882597,0.989620966425156,1
