epoch,loss,sparse_categorical_accuracy,val_loss,val_sparse_categorical_accuracy
0,0.9379791140761339,0.44282028,0.8473442016887831,0.49040138721466064
1,0.8488884954132709,0.50988823,0.8340468417079453,0.4921466112136841
2,0.8546180633358779,0.4926913,0.8381215496213025,0.5008726119995117
3,0.8382082289903203,0.5159071,0.8289559000865743,0.5043630003929138
4,0.8389194805050142,0.53396386,0.8293422280597853,0.5095986127853394
5,0.8466350359846986,0.5245056,0.8500859579282697,0.4781849980354309
6,0.8294778891093548,0.53826314,0.8314090051784149,0.5130890011787415
7,0.8298011070577009,0.5477214,0.8377129686232428,0.5078533887863159
8,0.8317343954986677,0.5374033,0.8238631860331923,0.5340313911437988
9,0.8264935402550373,0.5537403,0.8223032056765198,0.5165793895721436
10,0.8307199081980967,0.53826314,0.8264276799315141,0.5410122275352478
11,0.8261732887012223,0.5477214,0.8145054671360769,0.5532286167144775
12,0.825760236251795,0.54342216,0.8355083152469748,0.518324613571167
13,0.827328922773166,0.53826314,0.825796113588423,0.5357766151428223
14,0.8229812521003795,0.5520206,0.8236206630553666,0.5305410027503967
15,0.8282010036097041,0.5511608,0.8138221222484715,0.5462478399276733
16,0.8256601550818925,0.55546004,0.8145385406404265,0.5427573919296265
17,0.8246692873133941,0.5468616,0.8173128807523904,0.5410122275352478
18,0.8232696628837061,0.5520206,0.8297454962347607,0.5078533887863159
19,0.8265152935415943,0.5356836,0.8138502974576767,0.5514833927154541
20,0.8216647437084162,0.5588994,0.823470857963096,0.5305410027503967
21,0.8241415937604929,0.55030096,0.8135188215690133,0.5567190051078796
22,0.8215823496915304,0.5451419,0.822582039117397,0.5532286167144775
23,0.8227405047375687,0.5606191,0.8189771677811108,0.5357766151428223
24,0.828127348617757,0.5477214,0.8242788165027558,0.5287958383560181
25,0.8222224080962347,0.5520206,0.8206049164344295,0.5497382283210754
26,0.8256760054585858,0.55030096,0.8205375575686417,0.5322862267494202
27,0.8208338513726934,0.5520206,0.8228334093801222,0.547993004322052
28,0.8203107085293567,0.5494411,0.8314712462624955,0.5287958383560181
29,0.8238362824209579,0.5399828,0.8133257427764813,0.5567190051078796
30,0.8278156565061849,0.5468616,0.8122181173602532,0.5706806182861328
31,0.8226124328062233,0.55546004,0.8131659905739895,0.5567190051078796
32,0.8228373958545826,0.5451419,0.8182821437118357,0.5287958383560181
33,0.8215589687317891,0.53396386,0.8165191591930223,0.5532286167144775
34,0.8233697275508608,0.5571797,0.8158337158682458,0.5619546175003052
35,0.8233526972789551,0.55975926,0.8190695111872222,0.5427573919296265
36,0.8223393451829256,0.54858124,0.8245742472886624,0.5392670035362244
37,0.826589544989995,0.5374033,0.8181718327820197,0.5427573919296265
38,0.8179559519551278,0.5588994,0.8126185956633736,0.5602094531059265
39,0.8219450409311932,0.5374033,0.8223260986451287,0.5357766151428223
40,0.8209565653948566,0.55631983,0.8124172577267126,0.5462478399276733
41,0.8234487630535792,0.5451419,0.8228181015966658,0.5462478399276733
42,0.8191976103409548,0.55030096,0.8223463596473813,0.5392670035362244
43,0.8234237350478627,0.5588994,0.8188369506108615,0.547993004322052
44,0.8186738327568396,0.54858124,0.8276087915294041,0.5427573919296265
45,0.8187738780512035,0.55975926,0.829532170482955,0.5305410027503967
46,0.8265484256264678,0.54084265,0.8167079527964767,0.5532286167144775
47,0.8235809575455617,0.544282,0.8161906617682225,0.5671902298927307
48,0.8259754452537281,0.53826314,0.8201468566117278,0.5445026159286499
49,0.8199638381971948,0.55631983,0.8192630686893096,0.5462478399276733
